"id"	"name_en"	"name_fr"	"ems_zone"	"sal_zone"	"geographic_zone"	"note"
1	"Korea (rep. of)"	"Corée (rép. de)"	"first"	"first"	"East Asia"	
2	"Guam "	"Guam"	"first"	"first"	"East Asia"	
3	"Taiwan "	"Taïwan"	"first"	"first"	"East Asia"	
4	"China "	"Chine"	"first"	"first"	"East Asia"	
5	"Philippines "	"Phillipines"	"first"	"first"	"East Asia"	
6	"Hong Kong "	"Hong Kong"	"first"	"first"	"East Asia"	
7	"Macao "	"Macao"	"first"	"first"	"East Asia"	
8	"Mongolia "	"Mongolie"	"first"	"first"	"East Asia"	
9	"Saipan"	"Saipan"	"first"	"first"	"East Asia"	"Airmail permet aussi les autres Northern Mariana Islands"
10	"North Korea"	"Corée du Nord"		"first"	"East Asia"	
11	"Wake Island"	"Wake (île)"		"first"	"East Asia"	
12	"Midway Islands "	"Midway (atoll de)"		"first"	"East Asia"	
13	"Palau"	"Palaos"		"first"	"East Asia"	
14	"Marshall Islands"	"Marshall (îles)"		"first"	"East Asia"	
15	"Micronesia"	"Micronésie"		"first"	"East Asia"	
16	"India "	"Inde"	"first"	"second"	"South Asia"	
17	"Indonesia "	"Indonésie"	"first"	"second"	"South Asia"	
18	"Vietnam "	"Vietnam"	"first"	"second"	"South Asia"	
19	"Cambodia "	"Cambodge"	"first"	"second"	"South Asia"	
20	"Singapore "	"Singapour"	"first"	"second"	"South Asia"	
21	"Sri Lanka "	"Sri Lanka"	"first"	"second"	"South Asia"	
22	"Thailand "	"Taïlande"	"first"	"second"	"South Asia"	
23	"Nepal "	"Népal"	"first"	"second"	"South Asia"	
24	"Pakistan "	"Pakistan"	"first"	"second"	"South Asia"	
25	"Bangladesh "	"Bengladesh"	"first"	"second"	"South Asia"	
26	"Bhutan "	"Bhoutan"	"first"	"second"	"South Asia"	
27	"Brunei "	"Brunei"	"first"	"second"	"South Asia"	
28	"Malaysia "	"Malaisie"	"first"	"second"	"South Asia"	
29	"Maldives "	"Maldives"	"first"	"second"	"South Asia"	
30	"Laos "	"Laos"	"first"	"second"	"South Asia"	
31	"Burma"	"Birmanie"	"first"	"second"	"South Asia"	"aka. Myanmar"
32	"Afghanistan "	"Afghanistan"		"second"	"South Asia"	
33	"East Timor"	"Timor oriental"		"second"	"South Asia"	
34	"Australia "	"Australie"	"second1"	"third"	"Oceania"	
35	"Solomon "	"Salomon"	"second1"	"third"	"Oceania"	
36	"New Caledonia "	"Nouvelle-Calédonie"	"second1"	"third"	"Oceania"	
37	"New Zealand "	"Nouvelle-Zélande"	"second1"	"third"	"Oceania"	
38	"Papua New Guinea "	"Papouasie-Nouvelle-Guinée"	"second1"	"third"	"Oceania"	
39	"Fiji Islands"	"Fidji (îles)"	"second1"	"third"	"Oceania"	
40	"Vanuatu"	"Vanuatu"		"third"	"Oceania"	
41	"Kiribati"	"Kiribati"		"third"	"Oceania"	
42	"Samoa"	"Samoa"		"third"	"Oceania"	
43	"Tuvalu"	"Tuvalu"		"third"	"Oceania"	
44	"Tonga"	"Tonga"		"third"	"Oceania"	
45	"Nauru"	"Nauru"		"third"	"Oceania"	
46	"Pitcairn Islands"	"Pitcairn (îles)"		"third"	"Oceania"	
47	"French Polynesia"	"Polynésie française"		"third"	"Oceania"	
48	"USA "	"Etats-Unis"	"second1"	"third"	"North/Central America "	
49	"Canada "	"Canada"	"second1"	"third"	"North/Central America "	
50	"El Salvador "	"Salvador"	"second1"	"third"	"North/Central America "	
51	"Cuba "	"Cuba"	"second1"	"third"	"North/Central America "	
52	"Costa Rica "	"Costa Rica"	"second1"	"third"	"North/Central America "	
53	"Jamaica "	"Jamaïque"	"second1"	"third"	"North/Central America "	
54	"Trinidad and Tobago "	"Trinité et Tobago"	"second1"	"third"	"North/Central America "	
55	"Panama "	"Panamá"	"second1"	"third"	"North/Central America "	
56	"Barbados "	"Barbade"	"second1"	"third"	"North/Central America "	
57	"Honduras "	"Honduras"	"second1"	"third"	"North/Central America "	
58	"Mexico "	"Mexique"	"second1"	"third"	"North/Central America "	
59	"Puerto Rico"	"Porto Rico"		"third"	"North/Central America "	
60	"Virgin Islands"	"Vierges (îles)"		"third"	"North/Central America "	
61	"Anguilla"	"Anguilla"		"third"	"North/Central America "	
62	"Antigua and Barbuda"	"Antigua et Barbuda"		"third"	"North/Central America "	
63	"Netherlands Antilles and Aruba"	"Antilles néerlandaises et Aruba"		"third"	"North/Central America "	
64	"Guadeloupe"	"Guadeloupe"		"third"	"North/Central America "	
65	"Guatemala"	"Guatemala"		"third"	"North/Central America "	
66	"Grenada"	"Grenade"		"third"	"North/Central America "	
67	"Cayman Islands"	"Caïmans (îles)"		"third"	"North/Central America "	
68	"Saint-Pierre et Miquelon"	"Saint-Pierre et Miquelon"		"third"	"North/Central America "	
69	"Saint Vincent"	"Saint-Vincent (île)"		"third"	"North/Central America "	
70	"Saint Kitts and Nevis "	"Saint-Christophe-et-Niévès"		"third"	"North/Central America "	
71	"Saint Lucia"	"Sainte-Lucie"		"third"	"North/Central America "	
72	"Turks and Caicos Islands"	"Turques-et-Caïques (îles)"		"third"	"North/Central America "	
